,COT_CONTS_NAME,COT_CONTS_ID,COT_VALUE_03,COT_COORD_X,COT_COORD_Y,COT_VALUE_04,COT_VALUE_05,COT_CONTS_STAT,COT_CONTS_GEOM,COT_EXTRA_DATA_02,COT_CONTS_TYPE,COT_GU_NAME,COT_THEME_SUB_ID,COT_ADDR_FULL_NEW,COT_COORD_TYPE,COT_ADDR_FULL_OLD,COT_TEL_NO
82,비유비웰,11103395_1651059305090,"월 ~ 토 12:00~17:00, 일 휴무",126.964732086,37.503075282,제로웨이스트제품(생활/주방욕실/구강/세탁/생리/문구/화장),http://www.instagram.com/beyouwell,1,POINT(126.96473 37.503075),,2,동작구,3,서울특별시 동작구 흑석한강로 27,1,서울특별시 동작구 흑석동 336,02-595-6868
83,빛과소금,zerowaste_2022038,"월-금 9:00-19:00 토,일 휴무
",127.126216023,37.504458784,"카페, 야채, 비건빵, 친환경생필품 등","https://www.instagram.com/아이디 형식으로 작성하세요, 없을 경우 공란
※ 입력시 내용을 삭제해주세요",1,POINT(127.12621 37.50446),,2,송파구,3,서울특별시 송파구 오금로35길 17,1,서울특별시 송파구 오금동 44,
84,빵아커피 김포공항점,zerowaste_2023_019,매일 08:00 ~ 21:00,126.813430000,37.553500000,커피 음료,,1,POINT(126.81343 37.5535),-,2,강서구,1,서울특별시 강서구 하늘길 233,1,서울특별시 강서구 공항동 1373-5,02-2665-0805
85,서강대학교,zerowaste_2023_050,"월~금 09:00 ~ 18:00, 토,일 휴무",126.943070000,37.551470000,,,1,POINT(126.94307 37.55147),https://www.sogang.ac.kr/,2,마포구,1,서울특별시 마포구 백범로 35,1,서울특별시 마포구 신수동 1-1,02-705-8114
86,서대문구청,zerowaste_2023_064,"월~금 09:00 ~ 18:00, 토,일 휴무",126.936770000,37.579120000,,,1,POINT(126.93677 37.57912),https://www.sdm.go.kr/,2,서대문구,1,서울특별시 서대문구 연희로 248,1,서울특별시 서대문구 연희동 168-6,02-330-1301
87,서대문구청내 카페_하이천사,zerowaste_2023_065,"월~금 09:00 ~ 18:00, 토,일 휴무",126.936770000,37.579120000,커피 음료,,1,POINT(126.93677 37.57912),-,2,서대문구,1,서울특별시 서대문구 연희로 248,1,서울특별시 서대문구 연희동 168-6,02-3144-3231
88,서소문청사 1동,zerowaste_2023_043,"월~금 09:00 ~ 18:00, 토,일 휴무",126.975610000,37.564580000,,,1,POINT(126.97561 37.56458),www.seoul.go.kr,2,중구,1,서울특별시 중구 덕수궁길 15,1,서울특별시 중구 서소문동 37,-
89,서소문청사 후생동 (네스카페),zerowaste_2023_060,월~금 09:00 ~ 18:00,126.974294379,37.564627092,커피 음료,,1,POINT(126.9743 37.56463),www.seoul.go.kr,2,중구,1,서울특별시 중구 덕수궁길 15,1,서울특별시 중구 서소문동 37,02-120
90,서울시의회 의원회관,zerowaste_2023_048,"월~금 09:00 ~ 18:00, 토,일 휴무",126.974741882,37.564593041,,,1,POINT(126.97474 37.564594),https://www.smc.seoul.kr/,2,중구,1,서울특별시 중구 덕수궁길 15,1,서울특별시 중구 서소문동 37,
91,서울시청 본청,zerowaste_2023_014,"월~금 09:00 ~ 18:00, 토,일 휴무",126.978401701,37.566677752,,https://www.instagram.com/seoul_official/,1,POINT(126.9784 37.566677),www.seoul.go.kr,2,중구,1,서울특별시 중구 세종대로 110,1,서울특별시 중구 태평로1가 31,02-120
92,서초구청,zerowaste_2023_068,"월~금 09:00 ~ 18:00, 토,일 휴무",127.032680000,37.483640000,,,1,POINT(127.03268 37.48364),http://www.seocho.go.kr/,2,서초구,1,서울특별시 서초구 남부순환로 2584,1,서울특별시 서초구 서초동 1376-3,02-2155-6114
93,셉틱탱크,zerowaste_2022049,예약제,126.947048658,37.595980469,"친환경생필품, 친환경수세미, 대나무칫솔, 탄소창고컵 등",http://instagram.com/septicktank.store,1,POINT(126.947048658 37.595980469),https://septic-tank.co.kr/,2,서대문구,3,서울특별시 서대문구 간호대로3길 24-8,1,서울특별시 서대문구 홍제동 287-216,0507-1343-4174
94,소나카페테라,zerowaste_2023_089,"수~토 09:00 ~ 20:00, 일~화 09:00 ~ 18:00",126.846410000,37.531780000,커피 음료,,1,POINT(126.84641 37.53178),-,2,강서구,1,서울특별시 강서구 강서로 45,1,서울특별시 강서구 화곡동 343-51,02-2065-1810
95,송포어스,zerowaste_0034,"화, 수, 목, 금, 토, 일 11:00~20:00/ 휴무 월요일",127.125450166,37.533453073,"세제리필, 농수산물리필, 제로웨이스트 생활용품",http://www.instagram.com/song_for_earth,1,POINT(127.12545 37.533455),https://linktr.ee/song_for_earth,2,강동구,3,서울특별시 강동구 풍성로35길 34,1,서울특별시 강동구 성내동 288-4,070-8095-3534
96,숨공춤공,zerowaste_0023,"월~금 10:00-16:00  토,일 휴무",126.846389188,37.521502351,"제로웨이스트 물품, 리필스테이션( 섬유세제,섬유유연제, 가루세제, 액체 주방세제)", http://www.instagram.com/linktr.ee/table220,1,POINT(126.84639 37.521503), 네이버 스토어 숨공춤공,2,양천구,3,서울특별시 양천구 신월로 220,1,서울특별시 양천구 신월동 607-1,070-7576-4977
97,숭의여대 본관_교내카페,zerowaste_2023_026,"월~금 07:00 ~ 23:00, 토-일 11:00-21:00",126.987500000,37.557860000,커피 음료,,1,POINT(126.9875 37.55786),https://www.sewc.ac.kr/,2,중구,1,서울특별시 중구 소파로2길 10,1,서울특별시 중구 예장동 8-3,-
98,숭의여대 음악당_드림스퀘어(카페),zerowaste_2023_027,"월~금 08:00 ~ 22:00, 토-일 09:00-21:30",126.987500000,37.557860000,커피 음료,,1,POINT(126.9875 37.55786),https://www.sewc.ac.kr/,2,중구,1,서울특별시 중구 소파로2길 10,1,서울특별시 중구 예장동 8-3,-
99,스타벅스 무교동점,zerowaste_2023_004," 월~금 07:00~20:00, 토 09:00~19:00, 일 휴무",126.978760000,37.567860000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97876 37.56786),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 무교로 21,1,서울특별시 중구 무교동 45,1522-3234
100,스타벅스 무교로점,zerowaste_2023_005," 월~금 07:00~20:00, 토 09:00~19:00, 일 휴무",126.978937700,37.567269500,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.9789377 37.5672695),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 무교로 15,1,서울특별시 중구 무교동 32-2,1522-3234
101,스타벅스 별다방점,zerowaste_2023_013, 월~일 07:00~21:00,126.982930000,37.560210000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.98293 37.56021),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 퇴계로 100,1,서울특별시 중구 회현동2가 88,1522-3242
102,스타벅스 서소문로점,zerowaste_2023_012," 월~금 07:00~21:00, 토,일 08:00~19:00",126.974680000,37.562910000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97468 37.56291),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 서소문로 120,1,서울특별시 중구 서소문동 136,1522-3232
103,스타벅스 시청 플러스점,zerowaste_0084," 월~금 07:30~17:30, 토,일 휴무",126.979970000,37.566310000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97997 37.56631),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 을지로 19,1,서울특별시 중구 을지로1가 50,1522-3243
104,스타벅스 시청점,zerowaste_2023_006," 월~금 07:00~19:00, 토 09:00~20:00, 일09:00~17:00",126.979970000,37.566310000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97997 37.56631),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 을지로 19,1,서울특별시 중구 을지로1가 50,1522-3236
105,스타벅스 을지로경기빌딩점,zerowaste_2023_008," 월~금 07:00~20:00, 토 09:00~19:00, 일09:00~18:00",126.983230000,37.567210000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.98323 37.56721),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 남대문로10길 9,1,서울특별시 중구 삼각동 115,1522-3238
106,스타벅스 을지로국제빌딩점,zerowaste_2023_007," 월~금 07:00~20:00, 토,일 10:00~19:00",126.982260000,37.566990000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.98226 37.56699),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 남대문로 109,1,서울특별시 중구 다동 111,1522-3237
107,스타벅스 을지로내외빌딩R점,zerowaste_2023_009," 월~금 07:00~20:00, 토 09:00~18:00, 일 휴무",126.983700000,37.566500000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.9837 37.5665),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 을지로 51,1,서울특별시 중구 을지로2가 6,1522-3239
108,스타벅스 을지로삼화타워점,zerowaste_2023_010," 월~금 07:00~21:00, 토 09:00~20:00, 일 휴무",126.984920000,37.566950000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.98492 37.56695),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 을지로5길 16,1,서울특별시 중구 을지로2가 204,1522-3240
109,스타벅스 한국프레스센터점,zerowaste_2023_003," 월~금 07:00~20:00, 토, 일 09:00~18:00",126.977890000,37.567420000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97789 37.56742),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 세종대로 124,1,서울특별시 중구 태평로1가 25,1522-3232
110,스타벅스서소문배재점,zerowaste_2023_011," 월~금 07:00~18:00, 토,일 휴무",126.972190000,37.562890000,커피 음료,https://www.instagram.com/starbuckskorea,1,POINT(126.97219 37.56289),https://www.starbucks.co.kr/,2,중구,1,서울특별시 중구 서소문로 99,1,서울특별시 중구 서소문동 57-9,1522-3241
111,스토어36.5노원점_새록,zerowaste_0067,"월~토 10시~19시
법정공휴일
롯데백화점정기휴무일에 휴무",127.060480222,37.654440117,"제로웨이스트제품(생활/주방/욕실용품)
사회적경제기업 제품 전시 및 판매
공정무역 커피원두",http://www.instagram.com/store36.5nowon,1,POINT(127.06048 37.65444),,2,노원구,5,서울특별시 노원구 동일로 1411-2,1,서울특별시 노원구 상계동 729,02-3391-3650
112,아로마티카 제로스테이션,zerowaste_0036,"매일 11:00 - 20:00 추석 전일,당일 휴무",127.019285386,37.520642755,아로마티카 화장품 리필 및 제로웨이스트 용품 판매,http://www.instagram.com/aromatica.life,1,POINT(127.019285386 37.520642755),https://aromatica.co.kr/brand/zero_station.html,2,강남구,3,서울특별시 강남구 도산대로1길 62,1,서울특별시 강남구 신사동 506,02-1600-3689
113,아토모스,zerowaste_2022052,"&#34;11:00-21:00 수 / 2,4번째주 화 휴무&#34;
",127.004427164,37.591139741,"친환경생필품, 세탁세제, 베이킹소다, 초콜릿 등","https://www.instagram.com/아이디 형식으로 작성하세요, 없을 경우 공란
※ 입력시 내용을 삭제해주세요",1,POINT(127.004427164 37.591139741),https://www.atomos-store.kr/,2,성북구,3,서울특별시 성북구 성북로8길 11,1,서울특별시 성북구 성북동 177-17,02-6012-2102
114,알맹상점,zerowaste_0002,매일 14:00-20:00 / 월요일 휴무,126.911712879,37.553654753,"리필세제, 로션, 커피원두, 친환경 제품(대나무 칫솔, 수세미, 행주), 재활용 제품(종이 테이프, 종이 독서대 등)",http://www.instagram.com/almang_market,1,POINT(126.91171 37.553654),https://almang.modoo.at/,2,마포구,3,서울특별시 마포구 월드컵로 49,1,서울특별시 마포구 합정동 427-5,0507-1393-8913
115,알맹상점 리스테이션,zerowaste_0054,매일 14:00-20:00 / 월요일 휴무,126.971400314,37.554498838,"리필세제, 로션, 커피원두, 친환경 제품(대나무 칫솔, 수세미, 행주), 재활용 제품(종이 테이프, 종이 독서대 등)",http://www.instagram.com/almang_market,1,POINT(126.971400314 37.554498838),https://blog.naver.com/almangmarket,2,중구,3,서울특별시 중구 한강대로 405,1,서울특별시 중구 봉래동2가 122-11,070-7777-1925
116,애니원FNC _사내카페,zerowaste_2023_032,"월~금 09:00 ~ 18:00, 토,일 휴무",127.033360000,37.503470000,커피 음료,,1,POINT(127.03336 37.50347),http://www.anyonefnc.com/,2,강남구,1,서울특별시 강남구 논현로99길 24,1,서울특별시 강남구 역삼동 626-31,02-470-2801
117,애니원FNC 서울세관,zerowaste_2023_059,월~금 08:00 ~ 17:30,127.034468000,37.518402000,커피 음료,,1,POINT(127.034468 37.518402),-,2,강남구,1,서울특별시 강남구 언주로 721,1,서울특별시 강남구 논현동 71,-
118,양천구청,zerowaste_2023_074,"월~금 09:00 ~ 18:00, 토,일 휴무",126.866550000,37.517060000,,,1,POINT(126.86655 37.51706),http://www.yangcheon.go.kr/,2,양천구,1,서울특별시 양천구 목동동로 105,1,서울특별시 양천구 신정동 321-4,02-2620-3114
119,양천구청 카페_도담,zerowaste_2023_075,"월~금 09:00 ~ 18:00, 토,일 휴무",126.866550000,37.517060000,커피 음료,,1,POINT(126.86655 37.51706),-,2,양천구,1,서울특별시 양천구 목동동로 105,1,서울특별시 양천구 신정동 321-4,-
120,어몽트리 그림공간,zerowaste_0045,"평일 11:30~21:30, 일 11:00~17:00, 토요일 휴무",126.984424960,37.479404989,친환경 재료로 그림그리기 강습진행,http://www.instagram.com/among.trees.art,1,POINT(126.98443 37.479404),https://linktr.ee/among.trees.art,2,서초구,5,서울특별시 서초구 방배천로6길 33-1,1,서울특별시 서초구 방배동 465-6,02-582-0553
121,어짜다에코,zerowaste_2022011,"월-금 10:00-20:00 토, 일 휴무",126.891012373,37.542084599,"세제 리필, 고무장갑, 대나무칫솔, 리앤에코주방 비누 등 친환경 생필품 ",https://www.instagram.com/uhjjeoda_eco/,1,POINT(126.891014 37.542084),,2,영등포구,3,서울특별시 영등포구 양평로28마길 7,1,서울특별시 영등포구 양평동6가 13-1,0507-1353-1547
122,얼스어스,zerowaste_0042,"월~일 12:00~21:30, 화 휴무",126.923217774,37.564139729,"베이커리, 음료",http://www.instagram.com/earth__us,1,POINT(126.923217774 37.564139729),,2,마포구,1,서울특별시 마포구 성미산로 150,1,서울특별시 마포구 연남동 239-49,010-7105-9413
123,얼스어스 서촌점,zerowaste_0051,"평일12:00~21:00, 주말12:00~21:30",126.971258879,37.585316815,"베이커리, 음료",http://www.instagram.com/earth__us,1,POINT(126.971258879 37.585316815),,2,종로구,1,서울특별시 종로구 자하문로28가길 1,1,서울특별시 종로구 청운동 94-1,010-6686-8413
124,에코스토어(ecostore) 더현대서울,zerowaste_0049,"평일10:30~20:00, 금토일 10:30~20:30",126.927301228,37.527097227,에코스토어 세탁세제/섬유유연제 리필,http://www.instagram.com/ecostorekr_official,1,POINT(126.927301228 37.527097227),https://korea.ecostore.com/,2,영등포구,3,서울특별시 영등포구 여의대로 108,1,서울특별시 영등포구 여의도동 22,02-767-2233
125,오색오미,zerowaste_2022029,"&#34;월-금 10:00-18:00 토,일 휴무&#34;
",126.909918180,37.559465169,"반찬가게, 도시락, 케이터링",https://www.instagram.com/osombabsang,1,POINT(126.90992 37.559464),https://osombabsang.modoo.at/,2,마포구,5,서울특별시 마포구 월드컵로26길 39,1,서울특별시 마포구 성산동 249-10,0507-1309-6441
126,올가홀푸드(방이점),zerowaste_2022055,월-일 10:00-22:00,127.126412633,37.510413072,"친환경생필품, 과일 등","&#34;https://www.instagram.com/orgabang2
http:s//www.instagram.com/orga_wholefoods&#34;
",1,POINT(127.12641 37.510414),https://shop.pulmuone.co.kr/orga,2,송파구,3,서울특별시 송파구 양재대로71길 4,1,서울특별시 송파구 방이동 185-8,02-418-6255
127,용두문화복지센터 (북카페),zerowaste_2023_066,"월~금 06:00 ~ 22:00, 토 09:00-18:00, 일 휴무",127.039170000,37.575320000,,,1,POINT(127.03917 37.57532),-,2,동대문구,1,서울특별시 동대문구 고산자로28길 13,1,서울특별시 동대문구 용두동 29-3,02-6929-2652
128,원점,zerowaste_0073,"월~일 10:00~20:00 (둘째주, 넷째주 화요일 휴무)",127.055839439,37.548653310,"대나무칫솔, 천연수세미, 커피연필, 리필세제등 친환경 제품
(플라스틱과 쓰레기를 줄이는 제품들)",http://www.instagram.com/one_zeom,1,POINT(127.05584 37.548653),,2,성동구,4,서울특별시 성동구 아차산로7길 42,1,서울특별시 성동구 성수동2가 289-205,010-8783-4947
129,유카플라워&가든,zerowaste_2022012,월-일 11:00-21:00 (유동적) 연중무휴,127.079488125,37.611968340,"에코프랜들리포장 꽃다발, 화훼상품, 제로웨이스트 소품",https://www.instagram.com/yukaflower_official/,1,POINT(127.079488125 37.61196834),,2,중랑구,5,서울특별시 중랑구 공릉로2길 28,1,서울특별시 중랑구 묵동 178-1,0507-1348-1774
130,은평구청,zerowaste_2023_062,"월~금 09:00 ~ 18:00, 토,일 휴무",126.928840000,37.602460000,,,1,POINT(126.92884 37.60246),https://www.ep.go.kr/,2,은평구,1,서울특별시 은평구 은평로 195,1,서울특별시 은평구 녹번동 84,02-351-6114
131,은평구청내 카페_은마루,zerowaste_2023_063,"월~금 09:00 ~ 18:00, 토,일 휴무",126.928840000,37.602460000,커피 음료,,1,POINT(126.92884 37.60246),-,2,은평구,1,서울특별시 은평구 은평로 195,1,서울특별시 은평구 녹번동 84,02-351-6133
132,음밥,zerowaste_2022034,"월-금 9:00-21:00 토 11:00-18:00 일 휴무
",127.028129447,37.623099333,"다회용 반찬용기, 제로웨이스트 도시락 등","https://www.instagram.com/mmmbopcoop/
",1,POINT(127.028129447 37.623099333),https://mmmbobcoop.modoo.at/,2,강북구,5,서울특별시 강북구 솔매로50길 78,1,서울특별시 강북구 미아동 126-41,02-992-2048
133,이화여대 학생문화관,zerowaste_2023_100,"월~금 09:00 ~ 18:00, 토,일 휴무",126.945680794,37.559285765,,,1,POINT(126.945680794 37.559285765),http://www.ewha.ac.kr/,2,서대문구,1,서울특별시 서대문구 이화여대길 54,1,서울특별시 서대문구 대현동 33-11,02-3277-211
134,일리고카페자스,zerowaste_2023_045,"월~금 07:00 ~ 22:00, 토 12:00-19:00, 일 휴무",126.982080000,37.575130000,커피 음료,,1,POINT(126.98208 37.57513),-,2,종로구,1,서울특별시 종로구 율곡로4길 9,1,서울특별시 종로구 수송동 16-1,0507-1402-9318
135,일상공감_길음,11103395_1655098365215,"월~금 11:00~20:00, 토일 13:00~20:00, 변동휴무(인스타참조)",127.023971164,37.605600341,"제로웨이스트 물품관련(천연수세미,소창,대나무칫솔,고체치약등, 리필스테이션)",http://www.instagram.com/ilsang_gongam0,1,POINT(127.023971164 37.605600341),,2,성북구,3,서울특별시 성북구 삼양로 27,1,서울특별시 성북구 길음동 1249,0507-1346-1190
136,자연상점,zerowaste_0070,"평일 12시 ~ 18시 30분, (토,일,공휴일 휴무)",126.933787051,37.608587473,"친환경 생활용품, 사회적기업 제품, 공정무역 제품, 리필 (샴푸,바디워시,트리트먼트,주방세제,
세탁세제, 핸드워시)",http://www.instagram.com/onlyeco.co.kr,1,POINT(126.933784 37.60859),https://www.onlyeco.co.kr,2,은평구,4,서울특별시 은평구 통일로 684,1,서울특별시 은평구 녹번동 5,02-2039-9631
137,잠실야구장 01~20,zerowaste_2023_038,야구경기 운영시간 참조,127.072860000,37.511250000,,,1,POINT(127.07286 37.51125),http://stadium.seoul.go.kr/,2,송파구,1,서울특별시 송파구 올림픽로 19-2,1,서울특별시 송파구 잠실동 10-1,02-2240-8800
138,제로띵스,zerowaste_0053,"월~토 12:00~19:30, 일 12:00~18:00",126.990260167,37.563995590,"친환경 비누, 생필품 등",http://www.instagram.com/zerothings_shop,1,POINT(126.99026 37.563995),http://zerothings.co.kr,2,중구,4,서울특별시 중구 수표로 32-1,1,서울특별시 중구 저동2가 47-1,02-2263-6148
139,제로마켓 프렌들리랩 NC 신구로점,zerowaste_0092,"월~목 10:00~22:00, 금~일 10:30~22:00",126.882800000,37.501130000,제로웨이스트제품(생활/주방/욕실용품),,1,POINT(126.8828 37.50113),https://www.elandretail.com/,2,구로구,4,서울특별시 구로구 구로중앙로 152,1,서울특별시 구로구 구로동 573,02-6923-2000
140,제로웨이스트샵 선택지,zerowaste_2022007,"월~금 11:00~19:00, 주말 휴무",127.127292114,37.534807415,"고체비누, 고체치약, 대나무칫솔 등 욕실용품, 천연수세미, 수저세트 등 주방용품, 재생지문구,  면파우치, 밀랍초, 천연향, 리필세제 등",http://www.instagram.com/suntackz,1,POINT(127.12729 37.53481),https://smartstore.naver.com/suntackz,2,강동구,3,서울특별시 강동구 천호옛12길 47,1,서울특별시 강동구 성내동 30-2,070-4141-1724
141,종로노인종합복지관,zerowaste_2023_099,"시설별 상이 
- 경로식당 : 월~금 11:00 ~ 12:50
- 목욕탕 : 월,화,목,금 09:30 ~11:30, 13:30 ~ 16:00, 토 09:30 ~ 11:00
- 별★별한옥도서관 : 월~금 09:00~18:00
- 기능회복실 : 월~금 09:10, 10:10, 11:10, 13:30, 14:30",127.006040000,37.576650000,,,1,POINT(127.00604 37.57665),https://www.jongnonoin.or.kr/,2,종로구,1,서울특별시 종로구 율곡로19길 17-8,1,서울특별시 종로구 이화동 25-1,02-742-9500
142,주식회사 샘크래프트,zerowaste_0011,월~금 9:00~17:00,127.087247429,37.502640674,"화장품,위생용품(설거지용고체비누)",http://www.instagram.com/samcraft_official,1,POINT(127.087247429 37.502640674),https://www.samcraft.co.kr,2,송파구,4,서울특별시 송파구 삼전로4길 3-11,1,서울특별시 송파구 삼전동 33-15,02-6203-6430
143,중구청,zerowaste_2023_034,"월~금 09:00 ~ 18:00, 토,일 휴무",126.998000000,37.564120000,,,1,POINT(126.998 37.56412),http://www.junggu.seoul.kr/,2,중구,1,서울특별시 중구 창경궁로 17,1,서울특별시 중구 예관동 120-1,02-3396-4114
144,지구살림터,zerowaste_0022,"화-토 11:00-20:00, / 일 13:00-17:00 / 월휴무",126.873922753,37.544334726,"곡물류 세제류 소분판매, 친환경 생활용품류(천연수세미, 대나무칫솔, 고체치약, 샴푸바, 린스바 등)",http://www.instagram.com/jigusallim.ter,1,POINT(126.873924 37.544334),jigusallimter.modoo.at,2,양천구,3,서울특별시 양천구 목동중앙북로16길 41,1,서울특별시 양천구 목동 536-1,070-7670-1004
145,지구상점,11103395_1657851981345," 월-금 11:00-18:00, 토 11:00-15:00, 일요일 및 공휴일 휴무",126.957772670,37.494634743," 대나무 칫솔, 천연수세미, 천연비누, 세제 리필, 디퓨저 리필 등.", http://www.instagram.com/jigu_gonggam,1,POINT(126.95777 37.494637),,2,동작구,3,서울특별시 동작구 상도로61길 54,1,서울특별시 동작구 상도동 507-11,
146,지구손길 제로샵,zerowaste_2022030,"월-금 10:00-18:00 토 14:00-18:00 일 휴무
",126.839770008,37.479727370,"친환경생필품, 리필세제, 건강차 등",https://www.instagram.com/gigu_songil,1,POINT(126.83977 37.47973),https://cwsongil.modoo.at/,2,구로구,3,서울특별시 구로구 천왕로 21,1,서울특별시 구로구 천왕동 274,02-2619-1106
147,지미프로젝트,zerowaste_2022040,"월-금 14:00-18:00  토,일 휴무
",127.121604653,37.498736096,"친환경 생필품, 통수세미, 세안비누, 칫솔 등","https://www.instagram.com/jimmy_project_official/
",1,POINT(127.121605 37.498737),https://smartstore.naver.com/aboutyuri,2,송파구,3,서울특별시 송파구 오금로36길 66,1,서울특별시 송파구 가락동 46-20,070-8065-7655
148,지평선,zerowaste_2022048,"운영시간을 작성하세요
※ 입력시 내용을 삭제해주세요",127.050686728,37.649852484,"방향제, 양말, 리필세제 등","https://www.instagram.com/아이디 형식으로 작성하세요, 없을 경우 공란
※ 입력시 내용을 삭제해주세요",1,POINT(127.050686728 37.649852484),,2,도봉구,3,서울특별시 도봉구 노해로70길 54,1,서울특별시 도봉구 창동 27,
149,진서의정원,zerowaste_2023_047,"화~일 10:00 ~ 22:30, 월 휴무",126.928490000,37.483280000,커피 음료,,1,POINT(126.92849 37.48328),-,2,관악구,1,서울특별시 관악구 남부순환로176길 16,1,서울특별시 관악구 신림동 1639-31,02-876-2525
150,충무아트센터_피스커피,zerowaste_2023_079,매일 10:00 ~ 21:30,127.014810000,37.565930000,커피 음료,https://www.instagram.com/peacecoffee__/,1,POINT(127.01481 37.56593),http://www.caci.or.kr/,2,중구,1,서울특별시 중구 퇴계로 387,1,서울특별시 중구 흥인동 131,0507-1354-8173
151,카페 샘,zerowaste_0017,매일 12:00~17:00 (일요일 휴무),126.924560529,37.573360510,"음료, 디저트, 로스팅 원두, 원액",https://www.instagram.com/cafe.saem/,1,POINT(126.924560529 37.57336051),,2,서대문구,1,서울특별시 서대문구 홍제천로 86-1,1,서울특별시 서대문구 연희동 519-75,010-3646-4135
152,카페 쓸 Cafe.SSSSl,Cafe.SSSSL,월-토 / 11:00-18:00,126.933354265,37.607391238,"판매물품 또는 판매 식음료를 작성하세요
※ 입력시 내용을 삭제해주세요",https://www.instagram.com/cafe.ssssl,1,POINT(126.933354265 37.607391238),,2,은평구,1,서울특별시 은평구 통일로 684,1,서울특별시 은평구 녹번동 7,010-4054-4804
153,카페 일마지오 본점_사내카페,zerowaste_2023_017, 월~금 07:00~19:00,126.891570000,37.528580000,커피 음료,,1,POINT(126.89157 37.52858),-,2,영등포구,1,서울특별시 영등포구 선유로 165,1,서울특별시 영등포구 양평동3가 60,1644-6288
154,카페535,zerowaste_2022054,월-일 9:30-21:00 (수 9:30-18:00),127.079288082,37.612170384,"카페, 수제흑당시럽, 수제레몬청, 수제자몽청 등","https://www.instagram.com/535.cafe/
",1,POINT(127.079285 37.61217),https://smartstore.naver.com/cafe535,2,중랑구,3,서울특별시 중랑구 공릉로2길 23,1,서울특별시 중랑구 묵동 173-4,02-971-5351
155,카페겸,zerowaste_2023_098,"월~화,목~일 10:30 ~ 22:00, 수 휴무",126.911210000,37.584080000,커피 음료,http://instagram.com/cafegyum,1,POINT(126.91121 37.58408),-,2,서대문구,1,서울특별시 서대문구 증가로 264,1,서울특별시 서대문구 북가좌동 342-14,0507-1410-1401
156,카페드라무,zerowaste_2023_081,"화~일 10:00 ~ 22:00, 월 휴무",126.839920000,37.565160000,커피 음료,,1,POINT(126.83992 37.56516),-,2,강서구,1,서울특별시 강서구 강서로 443,1,서울특별시 강서구 마곡동 784-6, 02-3661-1204
157,카페루시,zerowaste_2023_057,"월~금 09:00 ~ 23:00, 토,일 10:00-23:00",126.831370000,37.559700000,커피 음료,,1,POINT(126.83137 37.5597),-,2,강서구,1,서울특별시 강서구 공항대로 213,1,서울특별시 강서구 마곡동 774-2,0507-1323-5609
158,카페블럭,zerowaste_2023_053,"월~금 08:00 ~ 21:00, 토,일 10:00-18:00",127.083450000,37.534800000,커피 음료,,1,POINT(127.08345 37.5348),https://www.makeus.net/44076,2,광진구,1,서울특별시 광진구 자양로11길 10,1,서울특별시 광진구 자양동 627-26,02-457-0416
159,카페일마지오,11103395_1655165592924,"운영시간을 작성하세요
※ 입력시 내용을 삭제해주세요",126.891582499,37.528604317,,"https://www.instagram.com/아이디 형식으로 작성하세요, 없을 경우 공란
※ 입력시 내용을 삭제해주세요",1,POINT(126.891582499 37.528604317),,2,영등포구,1,서울특별시 영등포구 선유로 165,1,서울특별시 영등포구 양평동3가 60,
160,카페자스 광화문,zerowaste_2023_052,"월~금 07:00 ~ 22:00, 토,일 09:00-22:00",126.974280000,37.572490000,커피 음료,,1,POINT(126.97428 37.57249),-,2,종로구,1,서울특별시 종로구 새문안로5가길 3-1,1,서울특별시 종로구 당주동 2-2,02-733-7071
161,카페조제,zerowaste_2023_058,"월~토 07:00 ~ 19:00, 일 휴무",126.829043000,37.558224600,커피 음료,https://www.instagram.com/cafejoje_/,1,POINT(126.829043 37.5582246),-,2,강서구,1,서울특별시 강서구 마곡중앙4로 22,1,서울특별시 강서구 마곡동 799-11,010-3019-9772
